internal-ID,name,GND-Nummer,GND-Link,external-ID,comment
P0157,"Bellermann, Johann Friedrich",10214124X,https://d-nb.info/gnd/10214124X,,
P0158,"Sechter, Simon",118612514,https://d-nb.info/gnd/118612514,,
P0159,"Fortlage, Carl",118684256,https://d-nb.info/gnd/118684256,,
P0160,Boeckh,,,,
P0161,"Bona, Nicolaus Johannes de",1157697445,https://d-nb.info/gnd/1157697445,,
P0162,Plutarchus,118595237,https://d-nb.info/gnd/118595237,,
P0163,"Jones, William",11877638X,https://d-nb.info/gnd/11877638X,,
P0164,Olympos,106321887X,https://d-nb.info/gnd/106321887X,,musician in ancient greece
P0165,"Layriz, Friedrich",122005961,https://d-nb.info/gnd/122005961,,
P0166,"Brenner, F.",,,,
P0167,"Punschel, Johann Leberecht Ehregott",1144305764,https://d-nb.info/gnd/1144305764,,
P0168,Wendemann,,,,
P0169,"Johannes XXII., Papst",118557912,https://d-nb.info/gnd/118557912,,Pope around 1322
P0170,"Palestrina, Giovanni Pierluigi da",118818686,https://d-nb.info/gnd/118818686,,
P0171,"Raff, Joachim",1143618440,https://d-nb.info/gnd/1143618440,,
P0172,"Rötscher, Otfried",1329553543,https://d-nb.info/gnd/1329553543,,"told Oettingen about Raff op. 74, 2 and Meyerbeer"
P0173,"Meyerbeer, Giacomo",118581945,https://d-nb.info/gnd/118581945,,
